category,n,s_ours_full,s_ours_displayed,prior_floor,prior_holder,margin_lb,mechanism,first_sent,credit_verified_in_scrape,status_2026-08-16,recertified,resubmitted,note
squ_in_oct,36,2.928701551520834,2.92870+,2.92893,Trivial (10−5√2),2.28e-04,search,2026-07-04,2026-07-06,standing,yes,yes,"accepted, then superseded same day by the trivial 37-square lattice (10−5√2 = 2.92893+) Erich spotted; 'you did have the record, for about 5 minutes'; vacancy rearrangement of the 37-lattice; BH seeded with lattice-minus-one"
squ_in_oct,38,3.021130178730576,3.02113+,3.02321,Mohamed Metwalli,2.08e-03,harvest,2026-07-05,2026-07-06,re-taken by Luke Kaiser (August 2026),yes,,
squ_in_oct,39,3.084443082033133,3.08444+,3.08686,Mohamed Metwalli,2.42e-03,harvest,2026-07-05,2026-07-06,re-taken by Aapo Lipponen (July 2026),yes,,
squ_in_oct,40,3.142017576662691,3.14201+,3.14545,Mohamed Metwalli,3.43e-03,harvest,2026-07-05,2026-07-06,re-taken by Aapo Lipponen (July 2026),yes,,
squ_in_tri,41,10.618802157230435,10.61880+,10.61923,Haowei Lin,4.28e-04,search+drop-one,2026-07-05,2026-07-06,standing,yes,,= n=42 configuration minus one square; agrees with 6+8/√3 to 4e-9
squ_in_tri,42,10.618802157230435,10.61880+,10.61956,Haowei Lin,7.58e-04,closed-form,2026-07-05,2026-07-06,standing,yes,,"reconstructed Lin's GIF, squeezed to a value agreeing with 6+8/√3 to 4e-9"
squ_in_tri,43,10.773502698922991,10.77350+,10.77405,Haowei Lin,5.47e-04,closed-form,2026-07-05,2026-07-06,standing,yes,,value agrees with 5+10/√3 to 7e-9
tri_in_hex,36,2.583078120356046,2.58307+,2.58309,Thomas Greenleaf,1.19e-05,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_oct,31,1.803380228582351,1.80338+,1.80341,Thomas Greenleaf,2.98e-05,harvest,2026-07-06,2026-07-06,standing,yes,,
tri_in_oct,32,1.829942561156610,1.82994+,1.83002,Thomas Greenleaf,7.74e-05,harvest,2026-07-06,2026-07-06,standing,yes,,
tri_in_oct,33,1.847892538040222,1.84789+,1.85532,Mohamed Metwalli,7.43e-03,drop-one,2026-07-06,2026-07-06,standing,yes,yes,cascade from the new n=34; better-basin propagation
tri_in_oct,34,1.864544399987333,1.86454+,1.87179,Mohamed Metwalli,7.25e-03,drop-one,2026-07-06,2026-07-06,standing,yes,yes,self-improvement −7.2e-3: drop-one from our stronger n=35 basin
tri_in_oct,35,1.890513580971307,1.89051+,1.89225,Mohamed Metwalli,1.74e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
tri_in_oct,36,1.926678746514661,1.92667+,1.92843,Mohamed Metwalli,1.75e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
tri_in_oct,37,1.956159784268007,1.95615+,1.95803,Mohamed Metwalli,1.87e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
tri_in_pen,28,2.866364405710964,2.86636+,2.868,Ignacio Vallejo,1.64e-03,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,29,2.902407086110427,2.90240+,2.903,Ignacio Vallejo,5.93e-04,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,30,2.950141785091575,2.95014+,2.9502,Jake Loyd,5.82e-05,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,34,3.110731485121739,3.11073+,3.114,Emerson Connelly,3.27e-03,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,35,3.148433015984678,3.14843+,3.15,Emerson Connelly,1.57e-03,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,36,3.174730905252747,3.17473+,3.177,Emerson Connelly,2.27e-03,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,42,3.425057335841219,3.42505+,3.42525,Thomas Greenleaf,1.93e-04,harvest,2026-07-05,2026-07-06,standing,yes,,
tri_in_pen,43,3.464339139102929,3.46433+,3.46441,Thomas Greenleaf,7.09e-05,harvest,2026-07-05,2026-07-06,standing,yes,yes,deeper certification of our B4 value; display-identical (3.46433+)
