category,n,outcome,mechanisms,incumbent_at_attempt,incumbent_floor,our_best_logged,evidence
pen_in_hex,23,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.39703,4.397267989,night_harvest/do0_* | sweep_results.md
pen_in_hex,24,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.4636,4.463847303,night_harvest/do0_* | sweep_results.md
pen_in_hex,25,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.57861,4.579378959,night_harvest/do0_* | sweep_results.md
pen_in_hex,26,beaten-claimed,drop-one (night sweep); harvest,Bhavithran Ananthan,4.66044,4.660313003943706,ledger: standing | night_harvest/do0_* | sweep_results.md
pen_in_hex,27,beaten-claimed,harvest,Bhavithran Ananthan,4.718,4.717566100821409,ledger: standing | sweep_results.md
pen_in_hex,28,beaten-claimed,drop-one (night sweep); harvest,Bhavithran Ananthan,4.8441,4.843997128569802,ledger: re-taken by Bhavithran Ananthan (July 2026) | night_harvest/do0_* | sweep_results.md
pen_in_hex,29,beaten-claimed,drop-one (night sweep); harvest,Mohamed Metwalli,4.91275,4.910037168096236,ledger: standing | night_harvest/do0_* | sweep_results.md
pen_in_hex,30,beaten-claimed,harvest,Mohamed Metwalli,4.96723,4.964065503257694,ledger: standing | sweep_results.md
pen_in_hex,31,beaten-claimed,harvest,Bhavithran Ananthan,5.09328,5.093187066228374,ledger: re-taken by Bhavithran Ananthan (July 2026) | sweep_results.md
pen_in_oct,3,tie-documented,search (blitz-1),Nicolas Campailla,1.28954,1.289544387,blitz_final.txt | blitz_targets.txt
pen_in_oct,5,tie-documented,search (blitz-1),Nicolas Campailla,1.61756,1.617560331,blitz_final.txt | blitz_targets.txt
pen_in_oct,6,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Nicolas Campailla,1.78003,1.780038091,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_oct,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Timo Berthold et al,1.82343,1.823444730,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_oct,8,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Nicolas Campailla,1.95989,1.959891537,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_oct,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Nicolas Campailla,2.09517,2.095179326,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_oct,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.21135,2.211359188,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_oct,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.33111,2.331118210,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_oct,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.39327,2.393401132,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_oct,13,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.49776,2.497769986,night_harvest/do0_* | sweep_results.md
pen_in_oct,14,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.56564,2.565673739,night_harvest/do0_* | sweep_results.md
pen_in_oct,15,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,2.68123,2.681279607,night_harvest/do0_* | sweep_results.md
pen_in_oct,16,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.75249,2.752533588,night_harvest/do0_* | sweep_results.md
pen_in_oct,17,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.81043,2.810435549,night_harvest/do0_* | sweep_results.md
pen_in_oct,18,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.89321,2.893228807,night_harvest/do0_* | sweep_results.md
pen_in_oct,19,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.95527,2.955286910,night_harvest/do0_* | sweep_results.md
pen_in_oct,20,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.04679,3.046908745,night_harvest/do0_* | sweep_results.md
pen_in_oct,21,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.11874,3.118763133,night_harvest/do0_* | sweep_results.md
pen_in_oct,22,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.19144,3.191451274,night_harvest/do0_* | sweep_results.md
pen_in_oct,23,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.25129,3.251421359,night_harvest/do0_* | sweep_results.md
pen_in_oct,24,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.28718,3.287209941,night_harvest/do0_* | sweep_results.md
pen_in_oct,25,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.36617,3.366181382,night_harvest/do0_* | sweep_results.md
pen_in_oct,26,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.42775,3.427766057,night_harvest/do0_* | sweep_results.md
pen_in_oct,27,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,3.49945,3.499466847,night_harvest/do0_* | sweep_results.md
pen_in_oct,28,beaten-claimed,drop-one (night sweep); harvest,Mohamed Metwalli,3.56685,3.565751008264712,"ledger: briefly listed during 26-batch processing, re-taken the same day — not captured in any archived scrape | night_harvest/do0_* | sweep_results.md"
pen_in_oct,29,beaten-claimed,drop-one (night sweep); harvest,Bhavithran Ananthan,3.61924,3.618964005470293,ledger: re-taken by Bhavithran Ananthan (July 2026) | night_harvest/do0_* | sweep_results.md
pen_in_oct,30,beaten-claimed,harvest,Bhavithran Ananthan,3.66702,3.666780445692500,ledger: standing | sweep_results.md
pen_in_oct,31,beaten-claimed,harvest,Bhavithran Ananthan,3.74457,3.744162795016955,ledger: re-taken by Bhavithran Ananthan (July 2026) | sweep_results.md
pen_in_pen,3,tie-documented,search (blitz-1),Jonathan Viquerat,2.23606,2.236067978,blitz_final.txt | blitz_targets.txt
pen_in_pen,4,tie-documented,search (blitz-1),Jonathan Viquerat,2.44719,2.447213599,blitz_final.txt | blitz_targets.txt
pen_in_pen,6,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
pen_in_pen,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,3.07866,3.078689328,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_pen,8,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,3.33514,3.335174341,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_pen,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,3.44956,3.449593472,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_pen,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,3.68324,3.683281578,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_pen,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,3.79704,3.797055655,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_pen,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,3.96926,3.969261018,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_pen,13,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,4.06523,4.065247586,night_harvest/do0_* | sweep_results.md
pen_in_pen,14,tie-documented,harvest,Grant Mowry,4.21111,4.211163142,sweep_results.md
pen_in_pen,15,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
pen_in_pen,16,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,4.41636,4.416374408,night_harvest/do0_* | sweep_results.md
pen_in_pen,17,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,4.65543,4.655478113,night_harvest/do0_* | sweep_results.md
pen_in_pen,18,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,4.77541,4.775412645,night_harvest/do0_* | sweep_results.md
pen_in_pen,19,tie-documented,drop-one (night sweep); harvest,Ian Watson,4.95269,4.952711274,night_harvest/do0_* | sweep_results.md
pen_in_pen,20,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.03404,5.034048350,night_harvest/do0_* | sweep_results.md
pen_in_pen,21,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.15638,5.156396594,night_harvest/do0_* | sweep_results.md
pen_in_pen,22,tie-documented,drop-one (night sweep); harvest,Grant Mowry,5.26645,5.266474920,night_harvest/do0_* | sweep_results.md
pen_in_pen,23,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.34696,5.347279465,night_harvest/do0_* | sweep_results.md
pen_in_pen,24,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.49109,5.491128098,night_harvest/do0_* | sweep_results.md
pen_in_pen,25,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.58099,5.581108979,night_harvest/do0_* | sweep_results.md
pen_in_pen,26,tie-documented,harvest,Bhavithran Ananthan,5.67233,5.672373744,sweep_results.md
pen_in_squ,3,beaten-candidate,search (blitz-1),Jonathan Viquerat,2.90812,2.908117286,blitz_final.txt | blitz_targets.txt
pen_in_squ,4,tie-documented,search (blitz-1),Jonathan Viquerat,3.10252,3.102525012,blitz_final.txt | blitz_targets.txt
pen_in_squ,5,tie-documented,search (blitz-1),Jonathan Viquerat,3.54903,3.549034758,blitz_final.txt | blitz_targets.txt
pen_in_squ,6,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Haowei Lin,3.88299,3.882991428,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_squ,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Nicolas Campailla,4.18037,4.180370593,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
pen_in_squ,8,beaten-claimed,drop-one (night sweep); harvest; search; search (blitz-2),Jonathan Viquerat,4.38191,4.381909606459235,blitz2_pensqu8.json | blitz2_targets.txt (aggregate: 49 ties) | ledger: standing | night_harvest/do0_* | sweep_results.md
pen_in_squ,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,4.60033,4.600341442,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_squ,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,4.90581,4.905825585,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_squ,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Haowei Lin,5.11556,5.115574683,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_squ,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,5.23221,5.232227109,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
pen_in_squ,13,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.52102,5.521023193,night_harvest/do0_* | sweep_results.md
pen_in_squ,14,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.69659,5.696593946,night_harvest/do0_* | sweep_results.md
pen_in_squ,15,tie-documented,drop-one (night sweep); harvest,Haowei Lin,5.90119,5.901234122,night_harvest/do0_* | sweep_results.md
pen_in_squ,16,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,6.06452,6.064599464,night_harvest/do0_* | sweep_results.md
pen_in_squ,17,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,6.23761,6.237662615,night_harvest/do0_* | sweep_results.md
pen_in_squ,18,tie-documented,drop-one (night sweep); harvest,Thomas Greenleaf,6.32566,6.325657095,night_harvest/do0_* | sweep_results.md
pen_in_squ,19,tie-documented,drop-one (night sweep); harvest,Jake Loyd,6.55781,6.557812502,night_harvest/do0_* | sweep_results.md
pen_in_squ,20,tie-documented,drop-one (night sweep); harvest,Haowei Lin,6.66135,6.661351037,night_harvest/do0_* | sweep_results.md
pen_in_squ,21,tie-documented,drop-one (night sweep); harvest,Jake Loyd,6.85368,6.853740437,night_harvest/do0_* | sweep_results.md
pen_in_squ,22,tie-documented,drop-one (night sweep); harvest,Haowei Lin,7.04445,7.044475980,night_harvest/do0_* | sweep_results.md
pen_in_squ,23,tie-documented,drop-one (night sweep); harvest,Jake Loyd,7.20624,7.206439294,night_harvest/do0_* | sweep_results.md
pen_in_squ,24,tie-documented,drop-one (night sweep); harvest,Jake Loyd,7.3369,7.336924831,night_harvest/do0_* | sweep_results.md
pen_in_squ,25,tie-documented,harvest,Jake Loyd,7.4536,7.453618015,sweep_results.md
pen_in_tri,3,tie-documented,search (blitz-1),Jonathan Viquerat,4.12164,4.121647332,blitz_final.txt | blitz_targets.txt
pen_in_tri,4,tie-documented,search (blitz-1),Jonathan Viquerat,5.21983,5.219832804,blitz_final.txt | blitz_targets.txt
pen_in_tri,5,tie-documented,search (blitz-1),Jonathan Viquerat,5.55809,5.558094019,blitz_final.txt | blitz_targets.txt
pen_in_tri,6,no-improvement,search (blitz-2),Jonathan Viquerat,5.6354,,blitz2_targets.txt (aggregate: 49 ties)
pen_in_tri,7,no-improvement,drop-one (night sweep); search (blitz-2),Jonathan Viquerat,6.50034,,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_*
pen_in_tri,8,no-improvement,search (blitz-2),Jonathan Viquerat,6.81134,,blitz2_pentri8.json (live-gate reject: table moved) | blitz2_targets.txt (aggregate: 49 ties)
pen_in_tri,9,no-improvement,search (blitz-3),Bhavithran Ananthan,7.08969,,blitz3_targets.txt (aggregate: 0/69 improvements)
pen_in_tri,10,no-improvement,search (blitz-3),Bhavithran Ananthan,7.17235,,blitz3_targets.txt (aggregate: 0/69 improvements)
pen_in_tri,11,no-improvement,search (blitz-3),Jonathan Viquerat,7.93748,,blitz3_targets.txt (aggregate: 0/69 improvements)
pen_in_tri,12,no-improvement,search (blitz-3),Jonathan Viquerat,8.19117,,blitz3_targets.txt (aggregate: 0/69 improvements)
pen_in_tri,26,beaten-claimed,harvest,Bhavithran Ananthan,11.45623,11.455492110823988,ledger: standing
squ_in_hex,3,tie-documented,search (blitz-1),Maurizio Morandi,1.366,1.366025406,blitz_final.txt | blitz_targets.txt
squ_in_hex,4,tie-documented,search (blitz-1),Maurizio Morandi,1.519,1.519671374,blitz_final.txt | blitz_targets.txt
squ_in_hex,6,tie-documented,harvest; search (blitz-2),Maurizio Morandi,1.821,1.821902668,blitz2_targets.txt (aggregate: 49 ties) | sweep_results.md
squ_in_hex,7,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
squ_in_hex,8,tie-documented,harvest; search (blitz-2),Ian Watson,2.15378,2.153836906,blitz2_targets.txt (aggregate: 49 ties) | sweep_results.md
squ_in_hex,10,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
squ_in_hex,11,tie-documented,harvest; search (blitz-3),Jonathan Viquerat,2.40944,2.409441257,blitz3_targets.txt (aggregate: 0/69 improvements) | sweep_results.md
squ_in_hex,12,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
squ_in_hex,13,tie-documented,drop-one (night sweep); harvest,Maurizio Morandi,2.572,2.572640242,night_harvest/do0_* | sweep_results.md
squ_in_hex,14,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,2.62126,2.621275647,night_harvest/do0_* | sweep_results.md
squ_in_hex,15,tie-documented,drop-one (night sweep); harvest,Grant Mowry,2.75364,2.753645896,night_harvest/do0_* | sweep_results.md
squ_in_hex,16,tie-documented,drop-one (night sweep); harvest,Spencer Leach,2.82002,2.820093325,night_harvest/do0_* | sweep_results.md
squ_in_hex,17,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.87264,2.872674629,night_harvest/do0_* | sweep_results.md
squ_in_hex,18,tie-documented,drop-one (night sweep); harvest,Haowei Lin,2.92104,2.921260157,night_harvest/do0_* | sweep_results.md
squ_in_hex,19,tie-documented,drop-one (night sweep); harvest,Haowei Lin,2.93508,2.935134744,night_harvest/do0_* | sweep_results.md
squ_in_hex,20,tie-documented,harvest,Ian Watson,3.16123,3.161328781,sweep_results.md
squ_in_hex,21,attempted,drop-one (night sweep),Spencer Leach,,,night_harvest/do0_*
squ_in_hex,22,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.31432,3.314333781,night_harvest/do0_* | sweep_results.md
squ_in_hex,23,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.36407,3.364145475,night_harvest/do0_* | sweep_results.md
squ_in_hex,24,tie-documented,harvest,Thomas Greenleaf,3.40286,3.402850856,sweep_results.md
squ_in_hex,25,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
squ_in_hex,26,tie-documented,harvest,Jake Loyd,3.49276,3.493029197,sweep_results.md
squ_in_hex,27,attempted,drop-one (night sweep),Erich Friedman,,,night_harvest/do0_*
squ_in_hex,28,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.61979,3.619973504,night_harvest/do0_* | sweep_results.md
squ_in_hex,29,tie-documented,drop-one (night sweep); harvest,Ian Watson,3.66437,3.664384040,night_harvest/do0_* | sweep_results.md
squ_in_hex,30,beaten-claimed,harvest,Ian Watson,3.69554,3.695528789733827,ledger: standing | sweep_results.md
squ_in_hex,31,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.78143,3.781509478,night_harvest/do0_* | sweep_results.md
squ_in_hex,32,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.8414,3.841542651,night_harvest/do0_* | sweep_results.md
squ_in_hex,33,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.86634,3.866352135,night_harvest/do0_* | sweep_results.md
squ_in_hex,34,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.91853,3.918826694,night_harvest/do0_* | sweep_results.md
squ_in_hex,35,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.98201,3.982183976,night_harvest/do0_* | sweep_results.md
squ_in_hex,36,tie-documented,harvest,Jake Loyd,4.02042,4.020551138,sweep_results.md
squ_in_hex,37,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
squ_in_hex,38,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.18036,4.180464646,night_harvest/do0_* | sweep_results.md
squ_in_hex,39,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.24512,4.245683496,night_harvest/do0_* | sweep_results.md
squ_in_hex,40,beaten-claimed,harvest,Jake Loyd,4.30173,4.301713931484647,ledger: standing | sweep_results.md
squ_in_oct,7,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
squ_in_oct,8,tie-documented,harvest; search (blitz-2),Grant Mowry,1.56962,1.569627976,blitz2_targets.txt (aggregate: 49 ties) | sweep_results.md
squ_in_oct,9,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
squ_in_oct,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,1.68171,1.681819285,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
squ_in_oct,11,tie-documented,harvest; search (blitz-3),Jonathan Viquerat,1.73152,1.731525245,blitz3_targets.txt (aggregate: 0/69 improvements) | sweep_results.md
squ_in_oct,12,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
squ_in_oct,13,tie-documented,drop-one (night sweep); harvest,Grant Mowry,1.89674,1.896754173,night_harvest/do0_* | sweep_results.md
squ_in_oct,14,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,1.98302,1.983057990,night_harvest/do0_* | sweep_results.md
squ_in_oct,15,tie-documented,harvest,Jonathan Viquerat,2.03168,2.032396932,sweep_results.md
squ_in_oct,16,no-improvement,search (plateau),Trivial,,,CAMPAIGN.md: 5sqrt2-5 plateau
squ_in_oct,17,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
squ_in_oct,18,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,2.16732,2.167410948,night_harvest/do0_* | sweep_results.md
squ_in_oct,19,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.22435,2.224691959,night_harvest/do0_* | sweep_results.md
squ_in_oct,20,tie-documented,harvest,Jake Loyd,2.28598,2.286537425,sweep_results.md
squ_in_oct,21,attempted,drop-one (night sweep),Jake Loyd,,,night_harvest/do0_*
squ_in_oct,22,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.41575,2.415775766,night_harvest/do0_* | sweep_results.md
squ_in_oct,23,tie-documented,harvest,Jake Loyd,2.46879,2.468798661,sweep_results.md
squ_in_oct,25,attempted,drop-one (night sweep),Jake Loyd,,,night_harvest/do0_*
squ_in_oct,26,beaten-claimed,harvest,Jake Loyd,2.52711,2.527094992258591,ledger: standing | sweep_results.md
squ_in_oct,27,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.58584,2.586571749,night_harvest/do0_* | sweep_results.md
squ_in_oct,28,tie-documented,drop-one (night sweep); harvest,Jake Loyd,2.62788,2.627885806,night_harvest/do0_* | sweep_results.md
squ_in_oct,29,tie-documented,harvest,Jake Loyd,2.70553,2.705614282,sweep_results.md
squ_in_oct,30,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
squ_in_oct,31,beaten-claimed,harvest,Mohamed Metwalli,2.7857,2.784280735143800,ledger: re-taken by Aapo Lipponen (July 2026) | sweep_results.md
squ_in_oct,32,beaten-claimed,drop-one (night sweep); harvest,Mohamed Metwalli,2.84222,2.839808692332037,ledger: standing | night_harvest/do0_* | sweep_results.md
squ_in_oct,33,beaten-claimed,harvest,Mohamed Metwalli,2.8629,2.859036377433378,ledger: standing | sweep_results.md
squ_in_oct,34,attempted,drop-one (night sweep),Mohamed Metwalli,,,night_harvest/do0_*
squ_in_oct,35,beaten-claimed,drop-one (night sweep); harvest,Mohamed Metwalli,2.91052,2.906795194041193,ledger: re-taken by Aapo Lipponen (July 2026) | night_harvest/do0_* | sweep_results.md
squ_in_oct,36,beaten-claimed,drop-one (night sweep); harvest; search; search (BH/GPU),Mohamed Metwalli,2.92919,2.928701551520834,ledger: standing | night_harvest/do0_* | results/*_bh_* | sweep_results.md
squ_in_oct,37,beaten-candidate,drop-one (night sweep); harvest; search (BH/GPU),Mohamed Metwalli,2.92926,2.928996156,night_harvest/do0_* | results/*_bh_* | sweep_results.md
squ_in_oct,38,beaten-claimed,harvest,Mohamed Metwalli,3.02321,3.021130178730576,ledger: re-taken by Luke Kaiser (August 2026) | sweep_results.md
squ_in_oct,39,beaten-claimed,drop-one (night sweep); harvest,Mohamed Metwalli,3.08686,3.084443082033133,ledger: re-taken by Aapo Lipponen (July 2026) | night_harvest/do0_* | sweep_results.md
squ_in_oct,40,beaten-claimed,harvest,Mohamed Metwalli,3.14545,3.142017576662691,ledger: re-taken by Aapo Lipponen (July 2026) | sweep_results.md
squ_in_pen,3,no-improvement,search (blitz-2),David W. Cantrell,1.695,,blitz2_targets.txt (aggregate: 49 ties)
squ_in_pen,4,no-improvement,search (blitz-2),Maurizio Morandi,1.861,,blitz2_targets.txt (aggregate: 49 ties)
squ_in_pen,8,tie-documented,drop-one (night sweep); search; search (blitz-2),David W. Cantrell,2.565,,CAMPAIGN.md: reproduced incumbent to 7 digits | blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_*
squ_in_pen,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.693,2.693974389,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
squ_in_pen,10,tie-documented,drop-one (night sweep); harvest; search; search (blitz-3),Timo Berthold et al,2.793,2.793235659,CAMPAIGN.md: reproduced incumbent to 7 digits | blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
squ_in_pen,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.89,2.890797295,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
squ_in_pen,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.969,2.969697186,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
squ_in_pen,13,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.12074,3.120749843,night_harvest/do0_* | sweep_results.md
squ_in_pen,14,tie-documented,search,David W. Cantrell,,,CAMPAIGN.md: reproduced incumbent to 7 digits
squ_in_pen,15,tie-documented,drop-one (night sweep); search,David W. Cantrell,,,CAMPAIGN.md: reproduced incumbent to 7 digits | night_harvest/do0_*
squ_in_pen,16,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.47851,3.478509029,night_harvest/do0_* | sweep_results.md
squ_in_pen,17,tie-documented,drop-one (night sweep); harvest,Ignacio Vallejo,3.541,3.541234215,night_harvest/do0_* | sweep_results.md
squ_in_pen,18,tie-documented,drop-one (night sweep); harvest,Haowei Lin,3.62598,3.626006292,night_harvest/do0_* | sweep_results.md
squ_in_pen,19,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.70918,3.709184335,night_harvest/do0_* | sweep_results.md
squ_in_pen,20,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.79775,3.798109708,night_harvest/do0_* | sweep_results.md
squ_in_pen,21,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.86365,3.863776944,night_harvest/do0_* | sweep_results.md
squ_in_pen,22,tie-documented,drop-one (night sweep); harvest; search (BH/GPU),Jake Loyd,3.93347,3.933490774,night_harvest/do0_* | results/*_bh_* | sweep_results.md
squ_in_pen,23,tie-documented,drop-one (night sweep); harvest; search (BH/GPU),Jake Loyd,4.00109,4.001132908,night_harvest/do0_* | results/*_bh_* | sweep_results.md
squ_in_pen,24,tie-documented,drop-one (night sweep); harvest; search (lane),Jake Loyd,4.10103,4.101440739,"CAMPAIGN.md: overnight lane, 4.4e-4 from Loyd, no find | night_harvest/do0_* | sweep_results.md"
squ_in_pen,25,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.16727,4.167485977,night_harvest/do0_* | sweep_results.md
squ_in_pen,26,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.2215,4.221666148,night_harvest/do0_* | sweep_results.md
squ_in_pen,27,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.34851,4.348518566,night_harvest/do0_* | sweep_results.md
squ_in_pen,28,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.41576,4.415868759,night_harvest/do0_* | sweep_results.md
squ_in_pen,29,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.49879,4.498885531,night_harvest/do0_* | sweep_results.md
squ_in_pen,30,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.54753,4.547630236,night_harvest/do0_* | sweep_results.md
squ_in_pen,31,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.62404,4.624124953,night_harvest/do0_* | sweep_results.md
squ_in_pen,32,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.7,4.700081020,night_harvest/do0_* | sweep_results.md
squ_in_pen,33,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.75331,4.753440863,night_harvest/do0_* | sweep_results.md
squ_in_pen,34,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.81345,4.813576641,night_harvest/do0_* | sweep_results.md
squ_in_pen,35,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.86283,4.862926211,night_harvest/do0_* | sweep_results.md
squ_in_pen,36,tie-documented,drop-one (night sweep); harvest,Jake Loyd,4.93131,4.931525173,night_harvest/do0_* | sweep_results.md
