category,n,source,s_claimed,s_raw_fresh,s_certified_fresh,worst_pair_sep,worst_containment,cert_cost,verdict
tri_in_hex,36,B4 ALL19 coordinates txt,2.583078120356046,2.583078120356045,2.583078120356177,+4.707e-13,-1.985e-13,1.323e-13,VERIFIED
tri_in_oct,31,B5/B6 ALL26 coordinates txt,1.803380228582351,1.803380228582351,1.803380228582809,-1.321e-13,-4.601e-13,4.583e-13,VERIFIED
tri_in_oct,32,B5/B6 ALL26 coordinates txt,1.829942561156610,1.829942561156610,1.829942561156610,+1.006e-12,+7.730e-12,0.000e+00,VERIFIED
tri_in_oct,33,B7 FINAL8 json,1.847892538040222,1.847892538040222,1.847892538040437,-5.795e-14,-2.260e-13,2.152e-13,VERIFIED
tri_in_oct,34,B7 FINAL8 json,1.864544399987333,1.864544399987333,1.864544399988288,-5.126e-13,+2.176e-13,9.555e-13,VERIFIED
tri_in_oct,35,B5/B6 ALL26 coordinates txt,1.890513580971307,1.890513580971307,1.890513580971410,-3.197e-14,-8.793e-14,1.021e-13,VERIFIED
tri_in_oct,36,B5/B6 ALL26 coordinates txt,1.926678746514661,1.926678746514660,1.926678746515406,-3.602e-13,-1.075e-13,7.454e-13,VERIFIED
tri_in_oct,37,B5/B6 ALL26 coordinates txt,1.956159784268007,1.956159784268006,1.956159784268006,+3.723e-13,+4.423e-13,0.000e+00,VERIFIED
tri_in_pen,28,B4 ALL19 coordinates txt,2.866364405710964,2.866364405710964,2.866364405712530,-4.368e-13,-3.744e-13,1.566e-12,VERIFIED
tri_in_pen,29,B4 ALL19 coordinates txt,2.902407086110427,2.902407086110427,2.902407086112104,-4.630e-13,-3.970e-13,1.677e-12,VERIFIED
tri_in_pen,30,B4 ALL19 coordinates txt,2.950141785091575,2.950141785091575,2.950141785091593,-6.217e-15,+2.385e-13,1.776e-14,VERIFIED
tri_in_pen,34,B4 ALL19 coordinates txt,3.110731485121739,3.110731485121738,3.110731485123218,-3.513e-13,-4.619e-13,1.480e-12,VERIFIED
tri_in_pen,35,B4 ALL19 coordinates txt,3.148433015984678,3.148433015984678,3.148433015985484,-2.558e-13,+1.696e-13,8.056e-13,VERIFIED
tri_in_pen,36,B4 ALL19 coordinates txt,3.174730905252747,3.174730905252747,3.174730905252863,-3.286e-14,-1.332e-14,1.159e-13,VERIFIED
tri_in_pen,42,B4 ALL19 coordinates txt,3.425057335841219,3.425057335841218,3.425057335842800,-4.193e-13,-1.741e-13,1.582e-12,VERIFIED
tri_in_pen,43,B7 FINAL8 json,3.464339139102929,3.464339139102929,3.464339139104347,-4.092e-13,+1.350e-13,1.418e-12,VERIFIED
