oct_in_oct	3	2.17157	8	8
oct_in_oct	4	2.38895	8	8
oct_in_oct	5	2.70710	8	8
oct_in_oct	6	2.98894	8	8
oct_in_oct	8	3.27524	8	8
oct_in_oct	9	3.41421	8	8
oct_in_oct	10	3.70710	8	8
oct_in_oct	11	3.93256	8	8
oct_in_oct	13	4.17157	8	8
oct_in_oct	14	4.28135	8	8
oct_in_oct	15	4.45584	8	8
oct_in_oct	16	4.59803	8	8
oct_in_oct	17	4.75690	8	8
oct_in_oct	18	4.85681	8	8
oct_in_oct	19	4.93550	8	8
oct_in_oct	20	5.06727	8	8
oct_in_oct	21	5.19695	8	8
oct_in_oct	22	5.35686	8	8
oct_in_oct	23	5.41421	8	8
oct_in_oct	24	5.55414	8	8
oct_in_oct	25	5.65437	8	8
oct_in_oct	26	5.73838	8	8
oct_in_oct	27	5.81167	8	8
oct_in_oct	28	5.82842	8	8
oct_in_oct	29	6.05649	8	8
oct_in_oct	30	6.15306	8	8
oct_in_pen	1	1.87981	8	5
oct_in_pen	2	3.35605	8	5
oct_in_pen	3	3.74412	8	5
oct_in_pen	4	4.10125	8	5
oct_in_pen	5	4.33300	8	5
oct_in_pen	6	4.77007	8	5
oct_in_pen	7	5.25544	8	5
oct_in_pen	8	5.61662	8	5
oct_in_pen	9	5.96580	8	5
oct_in_pen	10	6.28146	8	5
oct_in_pen	11	6.46576	8	5
oct_in_pen	12	6.71763	8	5
oct_in_pen	13	6.97062	8	5
oct_in_pen	14	7.16083	8	5
oct_in_pen	16	7.61505	8	5
oct_in_pen	17	7.91419	8	5
oct_in_pen	18	8.12567	8	5
oct_in_pen	19	8.34354	8	5
oct_in_pen	20	8.54202	8	5
oct_in_squ	1	2.41421	8	4
oct_in_squ	2	4.12132	8	4
oct_in_squ	3	4.82842	8	4
oct_in_squ	4	4.82842	8	4
oct_in_squ	5	5.82842	8	4
oct_in_squ	6	6.51126	8	4
oct_in_squ	7	7.03553	8	4
oct_in_squ	8	7.24264	8	4
oct_in_squ	9	7.24264	8	4
oct_in_squ	10	8.24264	8	4
oct_in_squ	11	8.57596	8	4
oct_in_squ	12	8.81586	8	4
oct_in_squ	13	9.19909	8	4
oct_in_squ	14	9.44974	8	4
oct_in_squ	15	9.65685	8	4
oct_in_squ	16	9.65685	8	4
oct_in_squ	17	10.44973	8	4
oct_in_squ	18	10.60832	8	4
oct_in_squ	19	10.96620	8	4
oct_in_squ	20	11.10493	8	4
oct_in_tri	1	4.38541	8	3
oct_in_tri	2	6.79962	8	3
oct_in_tri	3	6.83693	8	3
oct_in_tri	4	8.65211	8	3
oct_in_tri	5	9.28498	8	3
oct_in_tri	6	9.31576	8	3
oct_in_tri	7	11.06632	8	3
oct_in_tri	8	11.51025	8	3
oct_in_tri	9	11.72998	8	3
oct_in_tri	10	11.80642	8	3
oct_in_tri	11	13.24689	8	3
oct_in_tri	12	13.62032	8	3
oct_in_tri	13	14.04225	8	3
oct_in_tri	14	14.23921	8	3
oct_in_tri	15	14.28169	8	3
