category,n,s,holder,year
oct_in_hex,1,1.49571+,Trivial,
oct_in_hex,2,2.70289+,Trivial,
oct_in_hex,3,2.88958+,Mohamed Metwalli,2026
oct_in_hex,4,√(9/2+3√2) = 3.27809+,Mohamed Metwalli,2026
oct_in_hex,5,3.71848+,Jonathan Viquerat,2026
oct_in_hex,6,3.94960+,Mohamed Metwalli,2026
oct_in_hex,7,3.97716+,Jonathan Viquerat,2026
oct_in_hex,8,4.56653+,Jonathan Viquerat,2026
oct_in_hex,9,4.93304+,Jonathan Viquerat,2026
oct_in_hex,10,5.06929+,Jonathan Viquerat,2026
oct_in_hex,11,5.34798+,Bhavithran Ananthan,2026
oct_in_hex,12,5.38669+,Jonathan Viquerat,2026
oct_in_hex,13,5.75470+,Jonathan Viquerat,2026
oct_in_hex,14,5.77752+,Jonathan Viquerat,2026
oct_in_hex,15,6.13744+,Bhavithran Ananthan,2026
oct_in_hex,16,6.21438+,Jonathan Viquerat,2026
oct_in_hex,17,6.35725+,Jonathan Viquerat,2026
oct_in_hex,18,6.43029+,Bhavithran Ananthan,2026
oct_in_hex,19,6.44696+,Bhavithran Ananthan,2026
oct_in_hex,20,6.99466+,Bhavithran Ananthan,2026
